date,Account,daily_pnl,num_trades,wins,avg_trade_size,total_volume,long_count,win_rate,long_ratio,fg_score,sentiment,sentiment_group
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,1,0,183.53,183.53,1,0.0,1.0,63,Greed,Greed
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9,0,5556.203333333334,50005.83,7,0.0,0.7777777777777778,75,Extreme Greed,Greed
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,11,4,10291.213636363636,113203.35,5,0.36363636363636365,0.45454545454545453,72,Greed,Greed
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,0,5304.975,10609.95,2,0.0,1.0,70,Greed,Greed
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,0,5116.256666666667,15348.77,3,0.0,1.0,67,Greed,Greed
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,14,7,8305.572857142857,116278.02,3,0.5,0.21428571428571427,73,Greed,Greed
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,15582.089999999998,31164.179999999997,2,0.0,1.0,65,Greed,Greed
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,15,10,6106.827333333334,91602.41,5,0.6666666666666666,0.3333333333333333,73,Greed,Greed
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,18,8,7868.710555555556,141636.79,10,0.4444444444444444,0.5555555555555556,74,Greed,Greed
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,49,26,2555.795306122449,125233.97,22,0.5306122448979592,0.4489795918367347,70,Greed,Greed
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,10,2,8887.428,88874.28,8,0.2,0.8,74,Greed,Greed
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,13,8,6033.711538461538,78438.25,5,0.6153846153846154,0.38461538461538464,70,Greed,Greed
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,39,15,10332.177948717948,402954.94,21,0.38461538461538464,0.5384615384615384,71,Greed,Greed
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,3,0,19982.836666666666,59948.51,2,0.0,0.6666666666666666,73,Greed,Greed
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,28,4,6121.823571428571,171411.06,15,0.14285714285714285,0.5357142857142857,73,Greed,Greed
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,0,4352.923913043478,100117.25,10,0.0,0.43478260869565216,73,Greed,Greed
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,578.436277,49,15,10993.42693877551,538677.92,31,0.30612244897959184,0.6326530612244898,65,Greed,Greed
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,52,23,13510.58096153846,702550.21,20,0.4423076923076923,0.38461538461538464,68,Greed,Greed
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,18,1,14679.973888888888,264239.52999999997,10,0.05555555555555555,0.5555555555555556,65,Greed,Greed
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,17,8,7138.1611764705885,121348.74,9,0.47058823529411764,0.5294117647058824,71,Greed,Greed
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,67,28,5888.050149253731,394499.36,32,0.417910447761194,0.47761194029850745,70,Greed,Greed
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,5,0,19958.508,99792.54000000001,2,0.0,0.4,68,Greed,Greed
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,66,13,25817.31303030303,1703942.66,31,0.19696969696969696,0.4696969696969697,72,Greed,Greed
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,135.58166400000002,22,10,13569.154545454547,298521.4,11,0.45454545454545453,0.5,70,Greed,Greed
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-835.681235,97,9,10812.887216494846,1048850.06,52,0.09278350515463918,0.5360824742268041,71,Greed,Greed
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-269.874439,127,32,11969.014173228346,1520064.8,39,0.25196850393700787,0.30708661417322836,71,Greed,Greed
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863,70,18,12429.313857142857,870051.97,28,0.2571428571428571,0.4,76,Extreme Greed,Greed
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1517.091342,193,41,10660.515440414507,2057479.48,92,0.21243523316062177,0.47668393782383417,73,Greed,Greed
2024-01-11,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,2,0,23066.935,46133.87,2,0.0,1.0,76,Extreme Greed,Greed
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-164.08950099999998,19,5,13641.064736842105,259180.22999999998,11,0.2631578947368421,0.5789473684210527,76,Extreme Greed,Greed
2024-01-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1925.519024,7,0,28583.181428571428,200082.27,5,0.0,0.7142857142857143,71,Greed,Greed
2024-01-15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,152.85358,9,9,69.98444444444445,629.86,0,1.0,0.0,52,Neutral,Neutral
